given_name,user_name,profile_link,association,followed_by,,
UMass Lowell SJP,umlsjp,https://www.instagram.com/umlsjp/,American University,@au_sjp,,
McGill Hunger Strike for Palestine,mcgillhungerstrike,https://www.instagram.com/mcgillhungerstrike/,American University,@au_sjp,,
SJP at Pitt,sjp_pitt,https://www.instagram.com/sjp_pitt/,American University,@au_sjp,,
Palestine Lobby,palestinelobby,https://www.instagram.com/palestinelobby/,American University,@au_sjp,,
The Davenport Coffee Lounge,davcoffeelounge,https://www.instagram.com/davcoffeelounge/,American University,@au_sjp,,
Northeastern SJP,nusjp,https://www.instagram.com/nusjp/,American University,@au_sjp,,
AU - Student Union Board,americanu_sub,https://www.instagram.com/americanu_sub/,American University,@au_sjp,,
Students for Justice in Palestine (@ Cornell),sjp.atcornell,https://www.instagram.com/sjp.atcornell/,American University,@au_sjp,,
Claudia Jones Club at AU,claudiajonesclubau,https://www.instagram.com/claudiajonesclubau/,American University,@au_sjp,,
Color Of Change,colorofchangeVerified,https://www.instagram.com/colorofchange/,American University,@au_sjp,,
AU Staff Union,austaffunion,https://www.instagram.com/austaffunion/,American University,@au_sjp,,
نساء بلاد الشام ومصر والعراق,women.of.the.levant,https://www.instagram.com/women.of.the.levant/,American University,@au_sjp,,
American University SANC,au_sanc,https://www.instagram.com/au_sanc/,American University,@au_sjp,,
AU Afghan Students Association,auafghans,https://www.instagram.com/auafghans/,American University,@au_sjp,,
Students for Socialism - DMV,sfs_dmv,https://www.instagram.com/sfs_dmv/,American University,@au_sjp,,
SPJP at VT 🇵🇸,spjp_vt,https://www.instagram.com/spjp_vt/,American University,@au_sjp,,
Reproductive Justice 🌱,repro.justice.au,https://www.instagram.com/repro.justice.au/,American University,@au_sjp,,
Marc Lamont Hill,marclamonthillVerified,https://www.instagram.com/marclamonthill/,American University,@au_sjp,,
Miami University (OH) Students for Justice in Palestine,mu.sjp,https://www.instagram.com/mu.sjp/,American University,@au_sjp,,
UCSC SJP,ucscsjp,https://www.instagram.com/ucscsjp/,American University,@au_sjp,,
The Market - AU’s Pantry,themarket_au,https://www.instagram.com/themarket_au/,American University,@au_sjp,,
SJP at the UofA,sjp_uarizona,https://www.instagram.com/sjp_uarizona/,American University,@au_sjp,,
جنى,jennaoshana,https://www.instagram.com/jennaoshana/,American University,@au_sjp,,
فلسطيني من كل مكان,unitedpalestinians,https://www.instagram.com/unitedpalestinians/,American University,@au_sjp,,
"Anakbayan - Washington, D.C.",anakbayandc,https://www.instagram.com/anakbayandc/,American University,@au_sjp,,
Basel Adra,basilaladraa,https://www.instagram.com/basilaladraa/,American University,@au_sjp,,
احمد,jewelouz,https://www.instagram.com/jewelouz/,American University,@au_sjp,,
WCL National Lawyers Guild,wclnlg,https://www.instagram.com/wclnlg/,American University,@au_sjp,,
United We Dream,unitedwedreamVerified,https://www.instagram.com/unitedwedream/,American University,@au_sjp,,
Triota @ AU,autriota,https://www.instagram.com/autriota/,American University,@au_sjp,,
vasudha,vasoods,https://www.instagram.com/vasoods/,American University,@au_sjp,,
SJP @ UM-Dearborn,sjpumd,https://www.instagram.com/sjpumd/,American University,@au_sjp,,
South Africa Summer AltBreak,southafrica_altbreak,https://www.instagram.com/southafrica_altbreak/,American University,@au_sjp,,
Smith SJP,smith_sjp,https://www.instagram.com/smith_sjp/,American University,@au_sjp,,
SJP at UofSC,uofsc_sjp,https://www.instagram.com/uofsc_sjp/,American University,@au_sjp,,
🌱American University Community Garden🌿,i_begyourgarden,https://www.instagram.com/i_begyourgarden/,American University,@au_sjp,,
DC Palestinian Film & Arts Festival,dcpfaf,https://www.instagram.com/dcpfaf/,American University,@au_sjp,,
Jinan Deena جنان دينا,falasteeenifoodie,https://www.instagram.com/falasteeenifoodie/,American University,@au_sjp,,
B-Well,blackwellnessliberation,https://www.instagram.com/blackwellnessliberation/,American University,@au_sjp,,
AUSAHT,ausaht,https://www.instagram.com/ausaht/,American University,@au_sjp,,
Write In DC 2024,writeindc2024,https://www.instagram.com/writeindc2024/,American University,@au_sjp,,
Montclair SJP,montclairsjp,https://www.instagram.com/montclairsjp/,American University,@au_sjp,,
Yazan يزن,yazanphoto,https://www.instagram.com/yazanphoto/,American University,@au_sjp,,
The Collegiette American University,thecollegietteau,https://www.instagram.com/thecollegietteau/,American University,@au_sjp,,
Malak Mattar,malakmattarart,https://www.instagram.com/malakmattarart/,American University,@au_sjp,,
Iranian Student Association,au_isa_,https://www.instagram.com/au_isa_/,American University,@au_sjp,,
Yahya Ashour | يحيى عاشور,yahyaashour98,https://www.instagram.com/yahyaashour98/,American University,@au_sjp,,
Black Lives Matter DC,blacklivesmatterdc,https://www.instagram.com/blacklivesmatterdc/,American University,@au_sjp,,
SJP Purdue 🇵🇸,sjppurdue,https://www.instagram.com/sjppurdue/,American University,@au_sjp,,
Brown School of Public Health for Palestine,brownsph4palestine,https://www.instagram.com/brownsph4palestine/,American University,@au_sjp,,
GW LSJP,gwlsjp,https://www.instagram.com/gwlsjp/,American University,@au_sjp,,
Students for Justice in Palestine HU,sjphowardu,https://www.instagram.com/sjphowardu/,American University,@au_sjp,,
The Jerusalem Fund & Palestine Center,thejerusalemfund,https://www.instagram.com/thejerusalemfund/,American University,@au_sjp,,
SolidaritePalestine à l'UQAM,sdhpp.uqam,https://www.instagram.com/sdhpp.uqam/,American University,@au_sjp,,
The Blackprint,theblackprintau,https://www.instagram.com/theblackprintau/,American University,@au_sjp,,
Georgetown Law Students for Justice in Palestine,lsjpgeorgetown,https://www.instagram.com/lsjpgeorgetown/,American University,@au_sjp,,
Badr T Risheq,badrrisheq,https://www.instagram.com/badrrisheq/,American University,@au_sjp,,
